バーコード,ID,ブランド,ブランドカナ,商品名,サイズ,カラー,カテゴリ大,カテゴリ小,仕入単価,シーズン,商品ランク,発売日,原価率,担当者コード,担当者,区分,区分詳細,バイヤー,サンプル確認者,店舗名,仕入方法,仕入金額,参考上代(税抜),販売価格(税抜),出品価格(税抜),保管指定,保管場所,出日,着日,在数(現在),在庫回転率(現在),在庫回転率(年間),在庫消化率,在庫単価(最終仕入原価法),販売日,販売月,販売金額,販売粗利額,販売顧客,販売金額,販売合計,返品日,不良品区分,不良品詳細,廃棄単価,ステータス
1025120000000,1025L190001,NO BRAND,ノーブランド,【BOGEY BOYS】ボギーボーイズ Essential Hoodie エッセンシャル フーディー パーカー ベージュ,L,ベージュ,メンズアパレル,スウェット/パーカー,,AW,B,2025/12/19,,-,KIMURA NOAH DAISUKE,新規,買取(BRING),太田,岸,オンライン,,,3000,9900,9900,9900,STAYGOLD ロジスティクスセンター,STAYGOLD ロジスティクスセンター,2025/12/20,2025/12/20,1,30,360,70%,25200,,-,-,-,-,0,0,,なし,,,在庫
1025120000000,1025L190002,STUSSY,ステューシー,Basic Hoodie Sweat クラシック ロゴ バックプリント スウェット プルオーバー,M,ブラック,メンズアパレル,スウェット/パーカー,,AW,B,2025/12/19,,-,KIMURA NOAH DAISUKE,新規,買取(BRING),太田,岸,オンライン,,,4000,12000,12000,12000,STAYGOLD ロジスティクスセンター,STAYGOLD ロジスティクスセンター,2025/12/20,2025/12/20,1,30,360,70%,25200,,-,-,-,-,0,0,,なし,,,在庫
